#ppt,,,,,,,,,,,,,,,,,,
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2001-01-01T00:00:00Z,27.46038437,28.92032814,34.71551514,39.92956924,42.27752686,42.57926559,191.5077515,181.6884918,175.815033,175.407547,224.1560516,198.543457,13.83863258,13.47918701,13.25952625,13.24415112,14.97184181,14.0905447
2001-02-01T00:00:00Z,17.8045578,19.12125778,24.03800964,28.41556358,29.96149445,28.77166939,63.51683044,86.74698639,109.5208206,90.46255493,70.65352631,69.26741028,7.969744682,9.313806534,10.4652195,9.511180878,8.405565262,8.322704315
2001-03-01T00:00:00Z,89.35301971,87.22842407,88.53903961,92.8285675,99.85832214,122.4045486,458.1095276,399.9676514,374.353363,454.3524475,749.4962158,975.2220459,21.40349388,19.99919128,19.3482132,21.31554413,27.37692833,31.22854614
2001-04-01T00:00:00Z,21.53168869,20.55469894,20.90036011,21.73924065,23.96096802,25.08224487,33.0859375,26.65282631,36.11431122,48.45581818,96.50296783,208.9167175,5.752037525,5.162637711,6.009518147,6.961021423,9.823592186,14.45395184
2001-05-01T00:00:00Z,25.56285286,24.82669258,25.42878723,27.83651543,37.01067734,57.21646118,174.0526276,226.8004608,560.9144287,945.526001,2108.783203,3230.092041,13.19290066,15.05989552,23.6836319,30.74940681,45.92148972,56.83390045
2001-06-01T00:00:00Z,135.1658936,122.6166534,106.8464355,96.88175201,100.9336472,119.2039948,4269.777344,2860.748535,1392.123413,535.8394165,544.6938477,516.333374,65.34353638,53.48596573,37.31116867,23.1482048,23.33867645,22.72297096
2001-07-01T00:00:00Z,163.8205872,175.9778595,191.2151642,195.0530853,192.2658081,153.9974213,1659.494995,1645.058838,1414.120239,1513.188232,1753.346436,1356.093872,40.73690033,40.55932617,37.60478973,38.89971924,41.87297821,36.82518005
2001-08-01T00:00:00Z,200.7237549,198.8968201,210.6706696,223.5498505,234.4881592,251.5704041,3281.248535,2156.660156,1460.220337,1067.812378,970.7489624,366.84021,57.2821846,46.43985367,38.21282959,32.67739868,31.15684509,19.15307236
2001-09-01T00:00:00Z,25.90404129,24.94667816,24.43574333,25.61860657,26.90062904,32.65529251,53.60387421,64.10896301,46.89293289,40.00869751,46.15616989,48.79153061,7.321466446,8.006807327,6.847841263,6.325242996,6.793833256,6.985093594
