#ppt,,,,,,,,,,,,,,,,,,
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2002-09-01T00:00:00Z,90.75653076,93.59120941,106.4236755,115.5076904,120.505455,123.2015762,842.628418,686.6633911,754.2330933,727.2391357,659.779541,466.2605591,29.02806282,26.20426369,27.46330452,26.96737099,25.68617439,21.59306717
2002-10-01T00:00:00Z,38.86896515,37.61305618,36.49701691,36.59211731,37.28933716,44.21143341,121.4294891,113.5977707,82.81917572,66.1587677,54.54666138,4.261704445,11.01950455,10.65822506,9.100503922,8.133804321,7.385571003,2.064389706
2002-11-01T00:00:00Z,20.51367378,19.08147621,20.01443291,22.94620323,26.28861618,31.47781563,98.44454956,82.12552643,104.3313599,140.4577637,185.7175446,167.4677734,9.921922684,9.06231308,10.2142725,11.85148811,13.62782288,12.94093418
2002-12-01T00:00:00Z,5.979521751,6.23571825,7.231882572,8.49428463,9.823475838,11.03028011,13.86005211,16.82576561,24.07410431,28.3697319,37.50195313,61.7485733,3.722908974,4.101922035,4.906537056,5.326324463,6.123883724,7.858026028
2003-01-01T00:00:00Z,16.04252434,18.00854683,23.99318695,28.72080421,28.80096054,18.22686577,117.8758163,140.0088806,253.9170074,363.4936829,368.3927307,91.96029663,10.85706329,11.83253479,15.93477345,19.0655098,19.19355965,9.589592934
2003-02-01T00:00:00Z,16.64259148,14.95571518,15.3379631,17.03470421,20.71888542,28.95631027,89.24452972,70.94451141,117.0725098,184.4243622,364.8690796,443.8761597,9.446931839,8.422856331,10.82000542,13.5802927,19.10154724,21.06836891
2003-03-01T00:00:00Z,38.65361023,37.430439,38.40769577,40.46601868,43.1709404,48.79403687,128.2784729,102.3169403,108.4398804,131.7437744,198.3256073,236.5320435,11.3260088,10.11518383,10.41344738,11.47796917,14.08281231,15.37959862
2003-04-01T00:00:00Z,116.8025055,118.979332,124.2683792,126.7523499,126.8226013,115.1773834,360.3291931,310.7792664,256.4124451,211.2633667,213.0280914,15.2371788,18.98233986,17.62893295,16.01288414,14.53490162,14.59548187,3.903482914
2003-05-01T00:00:00Z,77.17681122,73.30895996,68.05783844,67.474617,73.4228363,96.77211761,447.7795715,457.3246155,501.076416,597.258728,961.7469482,1306.469727,21.16080284,21.385149,22.38473701,24.43887711,31.01204491,36.14511871
2003-06-01T00:00:00Z,111.9963837,101.2037811,93.98765564,95.88776398,106.7521362,143.1277008,1479.872559,999.0705566,726.5374146,891.0411377,1622.065674,2012.004395,38.4691124,31.608078,26.95435715,29.85031128,40.27487564,44.85537338
2003-07-01T00:00:00Z,249.5800476,263.733551,289.1131592,303.0402222,302.9547119,281.4334106,4524.857422,4758.788086,4333.780273,3781.174561,4251.055664,4806.080566,67.26705933,68.98397064,65.83145142,61.49125671,65.20011902,69.32590485
2003-08-01T00:00:00Z,297.1447449,308.5996399,314.8130798,315.3268738,309.0004272,284.0691528,18713.86133,14400.30566,9002.905273,4750.039063,4054.908203,3074.168213,136.7986145,120.0012741,94.8836441,68.9205246,63.67816162,55.4451828
2003-09-01T00:00:00Z,98.98036957,103.7681046,116.4157715,125.0222626,122.1418915,101.5582352,1371.006226,1171.27417,1159.685913,1171.442627,1559.315918,2054.55957,37.02709961,34.22388458,34.05416107,34.22634506,39.48817444,45.32725143
